prefecture,type,year,land_price,ping_unit_price,change
岡山県,基準地価平均,1988年［昭和63年］,5万7350円/m2,18万9589円/坪,+45.61％
岡山県,基準地価平均,1989年［平成元年］,9万0883円/m2,30万0441円/坪,+58.47％
岡山県,基準地価平均,1990年［平成2年］,16万3842円/m2,54万1629円/坪,+80.28％
岡山県,基準地価平均,1991年［平成3年］,23万0691円/m2,76万2617円/坪,+40.80％
奈良県,総平均,2016年［平成28年］,7万5070円/m2,24万8165円/坪,-1.44％
奈良県,公示地価平均,1983年［昭和58年］,11万3552円/m2,37万5380円/坪,
奈良県,公示地価平均,1984年［昭和59年］,11万5732円/m2,38万2585円/坪,+1.92％
奈良県,公示地価平均,1985年［昭和60年］,11万5550円/m2,38万1983円/坪,-0.16％
奈良県,公示地価平均,1986年［昭和61年］,12万1096円/m2,40万0318円/坪,+4.80％
奈良県,公示地価平均,1987年［昭和62年］,12万4160円/m2,41万0448円/坪,+2.53％
奈良県,公示地価平均,1988年［昭和63年］,13万0933円/m2,43万2837円/坪,+5.45％
熊本県,公示地価平均,1986年［昭和61年］,7万2535円/m2,23万9787円/坪,+1.42％
熊本県,公示地価平均,1987年［昭和62年］,9万0100円/m2,29万7851円/坪,+24.21％
熊本県,公示地価平均,1988年［昭和63年］,17万9234円/m2,59万2511円/坪,+98.93％
